employee_id,quarter,kpi_score,goals_met,projects_completed,team_rating
EMP-0001,Q1-2023,62.6,57.8,3,3.0
EMP-0001,Q2-2023,71.1,71.8,3,3.2
EMP-0001,Q3-2023,71.0,67.9,4,3.8
EMP-0001,Q4-2023,69.6,73.5,2,3.1
EMP-0001,Q1-2024,70.2,70.2,3,3.5
EMP-0001,Q2-2024,77.3,73.9,6,3.8
EMP-0001,Q3-2024,77.8,87.0,4,3.7
EMP-0001,Q4-2024,86.6,97.3,5,4.2
EMP-0002,Q1-2023,62.3,66.3,3,3.0
EMP-0002,Q2-2023,74.2,64.1,4,3.3
EMP-0002,Q3-2023,71.2,66.6,3,3.2
EMP-0002,Q4-2023,76.6,65.8,4,4.0
EMP-0002,Q1-2024,80.9,79.7,4,3.9
EMP-0002,Q2-2024,84.0,77.1,4,4.4
EMP-0002,Q3-2024,89.2,89.7,4,4.1
EMP-0002,Q4-2024,88.6,88.7,5,4.6
EMP-0003,Q1-2023,60.4,60.9,4,3.4
EMP-0003,Q2-2023,60.7,67.9,5,3.5
EMP-0003,Q3-2023,51.6,45.9,4,3.0
EMP-0003,Q4-2023,49.7,46.8,4,2.2
EMP-0003,Q1-2024,57.1,62.8,3,2.8
EMP-0003,Q2-2024,46.3,51.0,1,2.4
EMP-0003,Q3-2024,51.6,52.2,4,2.1
EMP-0003,Q4-2024,48.3,44.5,3,2.2
EMP-0004,Q1-2023,51.1,50.5,2,2.6
EMP-0004,Q2-2023,37.9,33.8,4,1.7
EMP-0004,Q3-2023,43.5,49.2,4,2.6
EMP-0004,Q4-2023,49.7,46.1,2,2.0
EMP-0004,Q1-2024,44.4,50.5,2,2.2
EMP-0004,Q2-2024,45.7,44.8,2,2.2
EMP-0004,Q3-2024,33.8,38.5,3,1.3
EMP-0004,Q4-2024,47.3,56.8,3,2.9
EMP-0005,Q1-2023,75.5,75.4,4,3.5
EMP-0005,Q2-2023,79.0,75.6,4,4.0
EMP-0005,Q3-2023,61.9,56.8,3,2.6
EMP-0005,Q4-2023,65.7,72.8,3,3.2
EMP-0005,Q1-2024,78.1,77.2,4,4.1
EMP-0005,Q2-2024,67.3,71.8,4,3.3
EMP-0005,Q3-2024,72.0,74.5,4,3.7
EMP-0005,Q4-2024,71.1,70.5,3,3.9
EMP-0006,Q1-2023,58.4,55.5,4,3.0
EMP-0006,Q2-2023,57.2,61.8,2,3.1
EMP-0006,Q3-2023,66.8,65.4,4,3.3
EMP-0006,Q4-2023,60.0,62.8,4,2.9
EMP-0006,Q1-2024,72.8,76.1,5,4.1
EMP-0006,Q2-2024,65.6,65.1,5,2.9
EMP-0006,Q3-2024,66.6,56.9,3,3.7
EMP-0006,Q4-2024,74.7,90.3,4,3.6
EMP-0007,Q1-2023,49.3,54.6,3,2.7
EMP-0007,Q2-2023,58.5,60.9,4,2.7
EMP-0007,Q3-2023,56.0,58.2,5,2.5
EMP-0007,Q4-2023,67.5,60.5,5,3.6
EMP-0007,Q1-2024,65.2,64.8,4,3.2
EMP-0007,Q2-2024,62.6,52.0,3,3.2
EMP-0007,Q3-2024,66.4,58.7,4,2.8
EMP-0007,Q4-2024,70.6,64.8,5,4.0
EMP-0008,Q1-2023,51.7,50.1,2,3.0
EMP-0008,Q2-2023,46.0,46.5,3,2.5
EMP-0008,Q3-2023,41.7,32.8,1,2.2
EMP-0008,Q4-2023,47.8,49.9,2,2.1
EMP-0008,Q1-2024,48.8,53.9,4,2.8
EMP-0008,Q2-2024,58.6,56.3,2,3.2
EMP-0008,Q3-2024,55.0,53.7,3,2.6
EMP-0008,Q4-2024,57.9,69.7,4,3.1
EMP-0009,Q1-2023,73.6,75.5,3,4.0
EMP-0009,Q2-2023,78.3,79.0,4,4.3
EMP-0009,Q3-2023,76.8,78.3,3,4.2
EMP-0009,Q4-2023,81.8,86.7,5,4.0
EMP-0009,Q1-2024,82.2,70.8,5,3.9
EMP-0009,Q2-2024,78.2,82.3,5,4.2
EMP-0009,Q3-2024,89.2,86.9,4,4.4
EMP-0009,Q4-2024,81.6,71.5,4,4.1
EMP-0010,Q1-2023,47.3,48.4,4,2.4
EMP-0010,Q2-2023,44.2,48.8,2,2.5
EMP-0010,Q3-2023,42.7,47.7,2,1.9
EMP-0010,Q4-2023,59.1,57.1,2,2.8
EMP-0010,Q1-2024,54.3,60.5,3,3.1
EMP-0010,Q2-2024,65.6,69.3,4,3.3
EMP-0010,Q3-2024,55.7,64.3,4,2.8
EMP-0010,Q4-2024,59.9,59.4,2,2.7
EMP-0011,Q1-2023,55.4,55.4,2,2.8
EMP-0011,Q2-2023,53.7,51.1,4,3.0
EMP-0011,Q3-2023,57.2,66.4,3,2.4
EMP-0011,Q4-2023,53.1,60.4,2,3.1
EMP-0011,Q1-2024,56.6,53.0,4,2.8
EMP-0011,Q2-2024,49.2,48.4,2,2.9
EMP-0011,Q3-2024,55.0,52.7,2,3.2
EMP-0011,Q4-2024,42.3,41.9,3,2.5
EMP-0012,Q1-2023,77.3,68.0,5,3.8
EMP-0012,Q2-2023,72.2,76.0,5,3.2
EMP-0012,Q3-2023,78.9,77.3,3,4.0
EMP-0012,Q4-2023,80.3,70.6,4,4.4
EMP-0012,Q1-2024,81.8,81.8,5,4.2
EMP-0012,Q2-2024,81.5,91.1,4,3.8
EMP-0012,Q3-2024,78.0,73.8,4,4.0
EMP-0012,Q4-2024,69.7,68.8,5,3.5
EMP-0013,Q1-2023,75.2,63.1,5,3.8
EMP-0013,Q2-2023,68.9,64.9,4,3.0
EMP-0013,Q3-2023,75.2,73.5,5,3.5
EMP-0013,Q4-2023,59.0,52.3,3,3.2
EMP-0013,Q1-2024,65.3,73.2,3,3.4
EMP-0013,Q2-2024,61.2,54.5,3,2.7
EMP-0013,Q3-2024,67.0,63.7,4,3.4
EMP-0013,Q4-2024,61.0,62.4,3,3.5
EMP-0014,Q1-2023,74.5,82.9,4,3.5
EMP-0014,Q2-2023,79.6,80.9,6,3.5
EMP-0014,Q3-2023,76.5,76.2,4,3.6
EMP-0014,Q4-2023,84.7,78.8,4,4.6
EMP-0014,Q1-2024,68.8,66.1,4,3.7
EMP-0014,Q2-2024,84.2,86.6,4,3.8
EMP-0014,Q3-2024,71.5,80.7,4,4.0
EMP-0014,Q4-2024,87.2,93.5,6,4.6
EMP-0015,Q1-2023,56.7,44.8,3,2.9
EMP-0015,Q2-2023,56.2,52.3,4,2.4
EMP-0015,Q3-2023,69.4,77.5,5,3.6
EMP-0015,Q4-2023,63.8,64.4,3,3.2
EMP-0015,Q1-2024,68.0,72.3,4,3.0
EMP-0015,Q2-2024,72.6,82.7,5,4.1
EMP-0015,Q3-2024,66.9,74.8,3,3.2
EMP-0015,Q4-2024,66.7,60.9,5,3.1
EMP-0016,Q1-2023,62.0,63.9,5,3.4
EMP-0016,Q2-2023,78.0,72.6,4,4.0
EMP-0016,Q3-2023,83.5,98.7,4,4.2
EMP-0016,Q4-2023,71.5,63.6,3,3.2
EMP-0016,Q1-2024,79.2,66.6,5,4.3
EMP-0016,Q2-2024,81.8,82.5,4,3.7
EMP-0016,Q3-2024,86.2,94.1,6,4.8
EMP-0016,Q4-2024,77.8,70.7,5,3.8
EMP-0017,Q1-2023,85.2,94.2,4,4.4
EMP-0017,Q2-2023,75.5,62.6,3,4.1
EMP-0017,Q3-2023,80.8,87.6,5,3.7
EMP-0017,Q4-2023,87.0,100,5,4.4
EMP-0017,Q1-2024,75.9,66.0,3,3.8
EMP-0017,Q2-2024,92.4,75.9,5,4.2
EMP-0017,Q3-2024,92.4,100,4,4.3
EMP-0017,Q4-2024,96.3,92.8,6,4.3
EMP-0018,Q1-2023,72.6,77.6,5,4.0
EMP-0018,Q2-2023,76.6,65.6,3,4.1
EMP-0018,Q3-2023,86.5,81.5,5,4.4
EMP-0018,Q4-2023,87.3,75.6,6,4.6
EMP-0018,Q1-2024,86.4,98.4,4,3.9
EMP-0018,Q2-2024,91.6,91.1,6,4.1
EMP-0018,Q3-2024,91.4,93.8,4,4.4
EMP-0018,Q4-2024,92.2,84.6,6,4.3
EMP-0019,Q1-2023,79.3,83.4,6,4.2
EMP-0019,Q2-2023,82.1,74.4,4,3.6
EMP-0019,Q3-2023,75.6,67.1,3,3.9
EMP-0019,Q4-2023,70.6,73.6,4,3.9
EMP-0019,Q1-2024,75.8,68.6,3,4.1
EMP-0019,Q2-2024,81.9,82.8,5,3.6
EMP-0019,Q3-2024,73.7,70.3,5,3.8
EMP-0019,Q4-2024,71.3,56.4,4,3.8
EMP-0020,Q1-2023,51.6,57.9,2,2.2
EMP-0020,Q2-2023,47.9,43.1,2,2.9
EMP-0020,Q3-2023,50.3,53.0,3,2.9
EMP-0020,Q4-2023,57.4,48.6,5,2.6
EMP-0020,Q1-2024,47.8,52.9,3,2.0
EMP-0020,Q2-2024,51.3,57.1,2,2.6
EMP-0020,Q3-2024,57.7,53.1,4,3.1
EMP-0020,Q4-2024,47.3,46.4,2,2.6
EMP-0021,Q1-2023,56.3,58.0,5,2.6
EMP-0021,Q2-2023,66.4,61.7,3,3.6
EMP-0021,Q3-2023,66.7,74.7,4,3.6
EMP-0021,Q4-2023,70.7,61.7,5,3.3
EMP-0021,Q1-2024,60.3,51.3,5,2.7
EMP-0021,Q2-2024,71.1,80.2,6,3.5
EMP-0021,Q3-2024,60.4,61.8,4,3.0
EMP-0021,Q4-2024,63.2,69.5,3,3.5
EMP-0022,Q1-2023,67.8,77.7,3,3.7
EMP-0022,Q2-2023,74.7,64.5,3,4.2
EMP-0022,Q3-2023,83.1,75.8,4,4.0
EMP-0022,Q4-2023,75.9,81.5,6,4.3
EMP-0022,Q1-2024,70.8,81.5,4,3.2
EMP-0022,Q2-2024,81.1,84.8,5,4.1
EMP-0022,Q3-2024,83.4,85.3,3,4.2
EMP-0022,Q4-2024,78.9,88.5,3,3.6
EMP-0023,Q1-2023,79.4,77.2,5,4.0
EMP-0023,Q2-2023,82.4,77.5,3,4.6
EMP-0023,Q3-2023,72.3,70.1,4,3.6
EMP-0023,Q4-2023,71.8,74.6,3,3.8
EMP-0023,Q1-2024,79.7,75.1,5,3.6
EMP-0023,Q2-2024,82.5,73.4,4,4.6
EMP-0023,Q3-2024,88.0,99.5,4,4.3
EMP-0023,Q4-2024,81.3,73.7,4,4.5
EMP-0024,Q1-2023,55.1,58.2,2,2.4
EMP-0024,Q2-2023,46.2,45.2,3,2.3
EMP-0024,Q3-2023,56.3,55.3,3,3.1
EMP-0024,Q4-2023,51.8,50.0,4,2.8
EMP-0024,Q1-2024,55.4,66.1,2,3.1
EMP-0024,Q2-2024,46.3,47.3,2,2.5
EMP-0024,Q3-2024,58.6,56.3,3,2.5
EMP-0024,Q4-2024,56.0,67.4,3,3.1
EMP-0025,Q1-2023,63.4,51.0,4,3.5
EMP-0025,Q2-2023,70.7,80.7,4,3.7
EMP-0025,Q3-2023,62.4,54.8,4,3.1
EMP-0025,Q4-2023,70.4,63.9,3,4.0
EMP-0025,Q1-2024,76.5,77.3,5,3.9
EMP-0025,Q2-2024,78.7,78.1,3,4.3
EMP-0025,Q3-2024,75.5,62.4,6,3.5
EMP-0025,Q4-2024,75.5,81.3,5,4.0
EMP-0026,Q1-2023,45.4,48.5,1,2.2
EMP-0026,Q2-2023,53.8,57.1,4,2.4
EMP-0026,Q3-2023,42.4,42.3,2,2.0
EMP-0026,Q4-2023,40.4,43.8,2,2.2
EMP-0026,Q1-2024,48.0,52.5,4,2.2
EMP-0026,Q2-2024,56.0,61.0,2,2.9
EMP-0026,Q3-2024,60.4,65.5,4,3.3
EMP-0026,Q4-2024,47.7,43.6,2,2.4
EMP-0027,Q1-2023,73.5,73.4,3,3.6
EMP-0027,Q2-2023,82.0,88.0,4,4.5
EMP-0027,Q3-2023,81.6,77.0,4,3.7
EMP-0027,Q4-2023,77.7,63.3,4,3.9
EMP-0027,Q1-2024,89.5,84.6,4,4.6
EMP-0027,Q2-2024,80.5,72.8,6,4.2
EMP-0027,Q3-2024,98.4,86.3,5,4.6
EMP-0027,Q4-2024,91.5,100,6,4.9
EMP-0028,Q1-2023,66.0,63.8,3,3.0
EMP-0028,Q2-2023,81.8,67.4,5,3.8
EMP-0028,Q3-2023,81.8,83.5,4,3.9
EMP-0028,Q4-2023,86.0,95.1,5,4.4
EMP-0028,Q1-2024,89.0,77.6,5,4.3
EMP-0028,Q2-2024,83.0,91.9,4,4.4
EMP-0028,Q3-2024,81.1,87.8,4,4.5
EMP-0028,Q4-2024,80.9,77.7,5,3.9
EMP-0029,Q1-2023,84.0,82.0,6,4.7
EMP-0029,Q2-2023,83.6,80.5,6,3.9
EMP-0029,Q3-2023,77.7,87.2,5,3.6
EMP-0029,Q4-2023,77.4,84.8,4,4.0
EMP-0029,Q1-2024,74.6,80.9,4,3.9
EMP-0029,Q2-2024,92.6,94.0,4,4.5
EMP-0029,Q3-2024,95.1,86.2,6,4.3
EMP-0029,Q4-2024,89.2,90.0,4,4.4
EMP-0030,Q1-2023,75.4,68.3,5,3.8
EMP-0030,Q2-2023,69.4,79.7,4,3.8
EMP-0030,Q3-2023,80.4,72.2,5,4.3
EMP-0030,Q4-2023,62.1,53.1,3,2.8
EMP-0030,Q1-2024,80.0,91.5,6,3.5
EMP-0030,Q2-2024,78.7,82.4,3,3.8
EMP-0030,Q3-2024,73.9,81.1,4,3.7
EMP-0030,Q4-2024,76.6,67.4,3,3.8
EMP-0031,Q1-2023,50.3,44.3,3,2.1
EMP-0031,Q2-2023,53.0,44.1,4,2.2
EMP-0031,Q3-2023,53.9,52.8,2,3.2
EMP-0031,Q4-2023,41.9,37.8,3,2.2
EMP-0031,Q1-2024,48.0,38.5,3,2.4
EMP-0031,Q2-2024,50.1,53.2,4,2.2
EMP-0031,Q3-2024,45.7,40.7,4,2.6
EMP-0031,Q4-2024,47.3,51.2,3,2.8
EMP-0032,Q1-2023,72.9,86.7,3,3.8
EMP-0032,Q2-2023,84.0,71.6,4,3.9
EMP-0032,Q3-2023,86.1,81.4,5,4.6
EMP-0032,Q4-2023,91.2,100,4,4.3
EMP-0032,Q1-2024,80.1,91.1,5,3.5
EMP-0032,Q2-2024,80.1,91.5,6,4.2
EMP-0032,Q3-2024,95.7,100,4,4.9
EMP-0032,Q4-2024,100,100,6,5.0
EMP-0033,Q1-2023,63.4,66.3,4,3.1
EMP-0033,Q2-2023,67.9,67.6,3,3.4
EMP-0033,Q3-2023,67.8,70.6,3,3.6
EMP-0033,Q4-2023,60.7,63.6,2,3.4
EMP-0033,Q1-2024,74.2,72.5,4,3.3
EMP-0033,Q2-2024,59.4,66.6,3,3.0
EMP-0033,Q3-2024,75.0,78.5,4,4.1
EMP-0033,Q4-2024,68.3,67.5,3,3.4
EMP-0034,Q1-2023,48.8,51.9,3,2.6
EMP-0034,Q2-2023,42.7,45.2,1,1.9
EMP-0034,Q3-2023,59.3,66.3,3,2.6
EMP-0034,Q4-2023,48.4,48.6,3,2.1
EMP-0034,Q1-2024,51.9,51.4,4,2.8
EMP-0034,Q2-2024,53.6,58.2,5,2.8
EMP-0034,Q3-2024,57.0,50.5,4,2.7
EMP-0034,Q4-2024,55.0,52.7,3,2.3
EMP-0035,Q1-2023,78.0,71.2,3,3.5
EMP-0035,Q2-2023,64.5,65.8,4,2.9
EMP-0035,Q3-2023,74.8,87.2,5,3.5
EMP-0035,Q4-2023,64.4,68.9,5,3.1
EMP-0035,Q1-2024,75.1,64.3,5,3.5
EMP-0035,Q2-2024,66.4,56.9,3,2.9
EMP-0035,Q3-2024,62.5,56.6,2,3.1
EMP-0035,Q4-2024,60.8,64.6,4,3.2
EMP-0036,Q1-2023,70.5,70.7,3,3.2
EMP-0036,Q2-2023,74.7,65.9,4,4.1
EMP-0036,Q3-2023,61.1,63.4,4,2.8
EMP-0036,Q4-2023,74.9,73.4,3,3.7
EMP-0036,Q1-2024,81.6,82.0,4,4.1
EMP-0036,Q2-2024,73.5,60.6,4,3.2
EMP-0036,Q3-2024,83.9,87.8,3,4.6
EMP-0036,Q4-2024,85.6,67.9,3,4.2
EMP-0037,Q1-2023,72.9,63.2,3,4.0
EMP-0037,Q2-2023,69.1,69.4,5,3.3
EMP-0037,Q3-2023,79.7,73.3,4,4.5
EMP-0037,Q4-2023,76.2,79.7,4,4.2
EMP-0037,Q1-2024,69.9,67.7,5,3.4
EMP-0037,Q2-2024,72.5,67.5,4,3.4
EMP-0037,Q3-2024,70.1,72.0,5,4.0
EMP-0037,Q4-2024,73.7,73.6,4,4.1
EMP-0038,Q1-2023,72.5,70.1,5,3.3
EMP-0038,Q2-2023,64.3,61.5,4,3.7
EMP-0038,Q3-2023,68.6,73.1,4,3.8
EMP-0038,Q4-2023,70.2,65.6,4,3.5
EMP-0038,Q1-2024,65.5,68.6,5,3.6
EMP-0038,Q2-2024,63.2,55.9,5,3.3
EMP-0038,Q3-2024,74.0,76.9,3,3.4
EMP-0038,Q4-2024,66.9,65.2,4,3.6
EMP-0039,Q1-2023,76.7,66.8,4,4.1
EMP-0039,Q2-2023,76.7,77.5,5,3.9
EMP-0039,Q3-2023,74.8,60.3,3,3.3
EMP-0039,Q4-2023,81.5,88.8,3,4.5
EMP-0039,Q1-2024,71.0,80.8,3,3.1
EMP-0039,Q2-2024,77.1,76.9,4,3.7
EMP-0039,Q3-2024,69.0,68.0,3,3.8
EMP-0039,Q4-2024,69.5,65.6,4,3.5
EMP-0040,Q1-2023,65.8,70.2,3,3.7
EMP-0040,Q2-2023,79.6,65.4,6,4.0
EMP-0040,Q3-2023,72.3,79.0,6,3.5
EMP-0040,Q4-2023,72.9,73.9,3,3.6
EMP-0040,Q1-2024,78.8,73.5,3,3.8
EMP-0040,Q2-2024,70.2,74.6,5,3.1
EMP-0040,Q3-2024,86.6,95.5,5,4.1
EMP-0040,Q4-2024,85.1,91.0,6,4.2
EMP-0041,Q1-2023,79.7,74.0,5,4.5
EMP-0041,Q2-2023,78.8,65.7,3,4.1
EMP-0041,Q3-2023,75.6,75.2,4,3.6
EMP-0041,Q4-2023,82.4,87.9,4,3.7
EMP-0041,Q1-2024,80.8,86.2,5,3.8
EMP-0041,Q2-2024,68.2,66.5,4,3.2
EMP-0041,Q3-2024,72.5,69.7,6,3.5
EMP-0041,Q4-2024,80.0,69.6,4,3.7
EMP-0042,Q1-2023,55.3,61.2,5,3.1
EMP-0042,Q2-2023,63.0,50.3,4,2.9
EMP-0042,Q3-2023,47.5,42.0,2,2.0
EMP-0042,Q4-2023,44.3,49.6,2,2.6
EMP-0042,Q1-2024,43.0,48.7,4,2.3
EMP-0042,Q2-2024,47.0,50.5,2,2.0
EMP-0042,Q3-2024,57.6,61.8,4,2.5
EMP-0042,Q4-2024,46.8,46.5,3,2.2
EMP-0043,Q1-2023,76.4,81.1,5,3.8
EMP-0043,Q2-2023,73.9,79.5,4,3.7
EMP-0043,Q3-2023,60.2,66.4,5,3.1
EMP-0043,Q4-2023,61.6,57.3,3,3.4
EMP-0043,Q1-2024,72.2,65.2,5,3.4
EMP-0043,Q2-2024,64.6,64.5,3,3.1
EMP-0043,Q3-2024,60.5,55.5,4,2.8
EMP-0043,Q4-2024,58.1,50.4,5,2.5
EMP-0044,Q1-2023,78.7,87.6,6,4.1
EMP-0044,Q2-2023,71.8,81.8,5,3.7
EMP-0044,Q3-2023,84.9,88.9,4,4.1
EMP-0044,Q4-2023,82.1,76.9,5,4.2
EMP-0044,Q1-2024,81.0,71.1,5,4.0
EMP-0044,Q2-2024,83.9,82.4,6,4.1
EMP-0044,Q3-2024,83.9,79.5,5,4.1
EMP-0044,Q4-2024,85.8,98.3,4,4.7
EMP-0045,Q1-2023,49.7,58.5,2,2.9
EMP-0045,Q2-2023,45.3,38.5,2,2.0
EMP-0045,Q3-2023,50.8,48.9,4,2.3
EMP-0045,Q4-2023,44.7,46.1,3,2.6
EMP-0045,Q1-2024,50.6,51.7,2,3.0
EMP-0045,Q2-2024,54.9,53.1,3,2.7
EMP-0045,Q3-2024,45.1,49.5,3,2.1
EMP-0045,Q4-2024,46.9,49.7,3,2.4
EMP-0046,Q1-2023,62.4,56.1,4,2.6
EMP-0046,Q2-2023,56.0,56.2,4,3.2
EMP-0046,Q3-2023,66.7,73.4,4,3.1
EMP-0046,Q4-2023,55.4,62.3,4,3.2
EMP-0046,Q1-2024,64.2,69.7,4,3.3
EMP-0046,Q2-2024,64.9,60.6,5,3.1
EMP-0046,Q3-2024,66.2,60.4,3,3.3
EMP-0046,Q4-2024,57.9,69.3,4,2.5
EMP-0047,Q1-2023,66.0,68.8,5,3.3
EMP-0047,Q2-2023,54.3,44.8,4,2.8
EMP-0047,Q3-2023,64.8,73.5,3,3.6
EMP-0047,Q4-2023,52.4,54.2,4,2.7
EMP-0047,Q1-2024,53.6,50.4,3,2.7
EMP-0047,Q2-2024,51.9,52.0,4,2.4
EMP-0047,Q3-2024,50.3,42.5,3,2.4
EMP-0047,Q4-2024,52.9,62.2,3,2.5
EMP-0048,Q1-2023,47.6,53.4,2,2.5
EMP-0048,Q2-2023,47.3,46.8,1,1.9
EMP-0048,Q3-2023,48.4,44.5,4,2.3
EMP-0048,Q4-2023,42.6,40.0,2,2.2
EMP-0048,Q1-2024,57.6,58.3,4,2.4
EMP-0048,Q2-2024,52.9,58.6,3,3.1
EMP-0048,Q3-2024,45.7,36.9,3,1.9
EMP-0048,Q4-2024,50.4,44.1,3,2.1
EMP-0049,Q1-2023,59.3,66.4,4,2.6
EMP-0049,Q2-2023,53.9,51.0,4,2.4
EMP-0049,Q3-2023,49.6,47.6,3,2.7
EMP-0049,Q4-2023,56.8,51.6,5,3.3
EMP-0049,Q1-2024,48.8,45.0,3,2.3
EMP-0049,Q2-2024,55.0,46.8,4,2.7
EMP-0049,Q3-2024,44.9,36.2,2,2.2
EMP-0049,Q4-2024,49.3,46.9,3,2.8
EMP-0050,Q1-2023,51.0,54.2,2,2.4
EMP-0050,Q2-2023,57.8,66.1,3,2.6
EMP-0050,Q3-2023,67.1,66.4,4,3.3
EMP-0050,Q4-2023,67.6,73.8,3,3.0
EMP-0050,Q1-2024,55.1,52.9,2,3.0
EMP-0050,Q2-2024,61.1,59.3,3,3.1
EMP-0050,Q3-2024,51.6,52.5,2,3.0
EMP-0050,Q4-2024,61.5,51.5,2,3.4
